Small_total,Large_total,XL_total,"Preferred type of bags per region","Best Seller Kind of Bag"
2246944.73,389881.72,43429.16,Albany,"Small Bags"
17442735.84,10839675.06,278101.68,Atlanta,"Small Bags"
34117612.92,981546.79,206985.36,BaltimoreWashington,"Small Bags"
4677932.59,711028.32,10449.34,Boise,"Small Bags"
19910427.54,1500167.27,84879.99,Boston,"Small Bags"
10268431.79,1260418.9,81901.94,BuffaloRochester,"Small Bags"
229097679.89,12311935.91,5272577.91,California,"Small Bags"
10643851.57,984487.25,69603.59,Charlotte,"Small Bags"
14794653.07,1691874.84,378872.71,Chicago,"Small Bags"
5661893.92,14972194.79,263830.73,CincinnatiDayton,"Large Bags"
8070792.71,1724880,220715.52,Columbus,"Small Bags"
40821736.08,5215721.39,432293.08,DallasFtWorth,"Small Bags"
18763605.17,40140921.55,52481.28,Denver,"Large Bags"
19939071.39,2671968.52,1649024.44,Detroit,"Small Bags"
7533477.06,796800.52,838815.37,GrandRapids,"Small Bags"
123287484.37,48895641.45,6392523.96,GreatLakes,"Small Bags"
12772872.22,601765.75,154618.16,HarrisburgScranton,"Small Bags"
10778560.68,476848.23,77601.72,HartfordSpringfield,"Small Bags"
32525167.34,17363763.93,326132.75,Houston,"Small Bags"
6611063.62,5086256.44,283489.96,Indianapolis,"Small Bags"
4339786.57,5273004.15,105335.77,Jacksonville,"Large Bags"
8977623.36,9059314.73,16054.32,LasVegas,"Large Bags"
155726104.01,8463145.47,4075279.95,LosAngeles,"Small Bags"
2814241.2,3713124.6,107922.98,Louisville,"Large Bags"
11219973.67,11990810.1,305657.99,MiamiFtLauderdale,"Large Bags"
134364442.98,20770865.71,1378317.13,Midsouth,"Small Bags"
10042786.84,2812894.41,111486.16,Nashville,"Small Bags"
11859554.58,1896699.23,512688.7,NewOrleansMobile,"Small Bags"
58401682.5,9232997.58,359477.68,NewYork,"Small Bags"
173622975.12,22056053.92,1309367.56,Northeast,"Small Bags"
11276970.5,2517405.62,110650.28,NorthernNewEngland,"Small Bags"
8927878.8,7690513.85,243247.03,Orlando,"Small Bags"
21417023.89,2352055.64,106151.72,Philadelphia,"Small Bags"
22272628.31,16480700.61,154908.38,PhoenixTucson,"Small Bags"
5408180.14,1779697.27,57585.02,Pittsburgh,"Small Bags"
68760623.94,7973643.72,1112937.29,Plains,"Small Bags"
41508621.22,7917725.16,78012.09,Portland,"Small Bags"
15040483.31,541146.08,95048.1,RaleighGreensboro,"Small Bags"
11656503.01,727940.92,123783.85,RichmondNorfolk,"Small Bags"
8456339.22,1055164.13,79483.35,Roanoke,"Small Bags"
8696840.97,76715.04,208711.11,Sacramento,"Small Bags"
20275789.81,2921823.74,145054.97,SanDiego,"Small Bags"
14502351.14,176939.24,211634.59,SanFrancisco,"Small Bags"
42447140.63,8175947.66,68310.44,Seattle,"Small Bags"
13413347.16,4513255.99,226570.63,SouthCarolina,"Small Bags"
184815483.82,45936839.39,2640111.14,SouthCentral,"Small Bags"
106903274.77,72107608.03,2516762.93,Southeast,"Small Bags"
5368311.52,878881.63,7182.72,Spokane,"Small Bags"
11931855.92,2579377.16,224797.89,StLouis,"Small Bags"
3645651.41,505015.1,41761.94,Syracuse,"Small Bags"
10608074.34,8653437.84,235178.73,Tampa,"Small Bags"
222709289.38,143531707.28,832634.65,West,"Small Bags"
19931756.29,15051247.19,313511.05,WestTexNewMexico,"Small Bags"
